TVD	North	East	Dia	Color	Style
1941.6	-1147.7	-2785.5	1.2	3.0	1
1943.1	-1136.6	-2813.3	1.2	3.0	1
1944.6	-1125.4	-2841.2	1.2	3.0	1
1946.1	-1114.3	-2869.0	1.2	3.0	1
1947.7	-1103.2	-2896.8	1.2	3.0	1
1949.2	-1092.1	-2924.6	1.2	3.0	1
1950.8	-1080.9	-2952.4	1.2	3.0	1
1952.3	-1069.8	-2980.2	1.2	3.0	1
1953.8	-1058.7	-3008.1	1.2	3.0	1
1955.3	-1047.6	-3035.9	1.2	3.0	1
1956.8	-1036.4	-3063.7	1.2	3.0	1
1957.0	-1035.4	-3066.3	1.2	3.0	1
1958.6	-1024.9	-3091.3	1.2	3.0	1
1961.1	-1012.3	-3118.5	1.2	3.0	1
1964.1	-998.7	-3145.0	1.2	3.0	1
1967.8	-984.1	-3171.0	1.2	3.0	1
1972.1	-968.6	-3196.3	1.2	3.0	1
1976.9	-952.2	-3220.9	1.2	3.0	1
1977.2	-951.3	-3222.2	1.2	3.0	1
1982.7	-935.0	-3244.8	1.2	3.0	1
1989.9	-917.4	-3268.0	1.2	3.0	1
1998.4	-899.4	-3290.5	1.2	3.0	1
2008.1	-881.1	-3312.1	1.2	3.0	1
2009.6	-878.4	-3315.2	1.2	3.0	1
2011.0	-876.0	-3317.9	1.2	3.0	1
2018.7	-862.5	-3333.2	1.2	3.0	1
2029.2	-844.0	-3354.3	1.2	3.0	1
2039.8	-825.4	-3375.4	1.2	3.0	1
2050.4	-806.9	-3396.4	1.2	3.0	1
2061.0	-788.3	-3417.5	1.2	3.0	1
2071.6	-769.8	-3438.6	1.2	3.0	1
2082.2	-751.2	-3459.6	1.2	3.0	1
2092.7	-732.7	-3480.7	1.2	3.0	1
2103.3	-714.1	-3501.8	1.2	3.0	1
2113.9	-695.6	-3522.9	1.2	3.0	1
2120.0	-684.9	-3535.0	1.2	3.0	1
2124.5	-677.1	-3543.9	1.2	3.0	1
2135.0	-658.5	-3565.0	1.2	3.0	1
2145.6	-640.0	-3586.1	1.2	3.0	1
2156.2	-621.4	-3607.2	1.2	3.0	1
2166.8	-602.9	-3628.2	1.2	3.0	1
2177.4	-584.3	-3649.3	1.2	3.0	1
2178.4	-582.6	-3651.3	1.2	3.0	1
2188.0	-565.3	-3669.9	1.2	3.0	1
2198.6	-545.2	-3689.5	1.2	3.0	1
2204.2	-534.1	-3699.4	1.2	3.0	1
2209.2	-524.1	-3708.0	1.2	3.0	1
2219.8	-502.9	-3726.4	1.2	3.0	1
2230.4	-481.6	-3744.7	1.2	3.0	1
2241.0	-460.4	-3763.1	1.2	3.0	1
2251.6	-439.2	-3781.4	1.2	3.0	1
2252.2	-438.1	-3782.4	1.2	3.0	1
